"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","158,313 ms (-0%)","158,313 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","158,313 ms (-0%)","158,313 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","158,313 ms (-0%)","158,313 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","158,313 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-2","158,313 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"container-0","158,313 ms (-0%)","0.0 ms (0%)","1"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.catalina.core.StandardServer.await ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   java.lang.Thread.sleep[native] ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"PostgreSQL-JDBC-Cleaner","158,313 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"  org.postgresql.util.LazyCleaner$1.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   java.lang.ref.ReferenceQueue.remove ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-1","158,313 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"   org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"    org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"     org.apache.tomcat.util.threads.ThreadPoolExecutor.getTask ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","158,313 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-2","158,313 ms (-0%)","504 ms (-0%)","1"
" java.lang.Thread.run ()","158,313 ms (-0%)","504 ms (-0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","158,313 ms (-0%)","504 ms (-0%)","1"
"   org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run ()","158,313 ms (-0%)","504 ms (-0%)","1"
"    org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker ()","158,313 ms (-0%)","504 ms (-0%)","1"
"     org.apache.tomcat.util.threads.ThreadPoolExecutor.getTask ()","157,707 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","157,707 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","157,707 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","157,707 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     org.apache.tomcat.util.net.SocketProcessorBase.run ()","606 ms (-0%)","504 ms (-0%)","1"
"      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun ()","606 ms (-0%)","504 ms (-0%)","1"
"       org.apache.coyote.AbstractProtocol$ConnectionHandler.process ()","606 ms (-0%)","504 ms (-0%)","1"
"        org.apache.coyote.AbstractProcessorLight.process ()","606 ms (-0%)","504 ms (-0%)","1"
"         org.apache.coyote.http11.Http11Processor.service ()","606 ms (-0%)","504 ms (-0%)","1"
