"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","2,322,334 ms (-0%)","2,322,334 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","2,322,334 ms (-0%)","2,322,334 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","2,322,334 ms (-0%)","2,322,334 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","2,322,334 ms (-0%)","104 ms (-0%)","1"
" java.lang.Thread.run ()","2,322,334 ms (-0%)","104 ms (-0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","2,322,334 ms (-0%)","104 ms (-0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","2,322,334 ms (-0%)","104 ms (-0%)","1"
"    Self time","2,322,230 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","104 ms (-0%)","104 ms (-0%)","1"
"     java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run ()","104 ms (-0%)","104 ms (-0%)","1"
"      java.util.concurrent.FutureTask.runAndReset ()","104 ms (-0%)","104 ms (-0%)","1"
"       java.util.concurrent.Executors$RunnableAdapter.call ()","104 ms (-0%)","104 ms (-0%)","1"
"        org.apache.catalina.core.ContainerBase$ContainerBackgroundProcessor.run ()","104 ms (-0%)","104 ms (-0%)","1"
"         org.apache.catalina.core.ContainerBase$ContainerBackgroundProcessor.processChildren ()","104 ms (-0%)","104 ms (-0%)","1"
"          org.apache.catalina.core.ContainerBase$ContainerBackgroundProcessor.processChildren ()","104 ms (-0%)","104 ms (-0%)","1"
"           org.apache.catalina.core.ContainerBase$ContainerBackgroundProcessor.processChildren ()","104 ms (-0%)","104 ms (-0%)","1"
"            org.apache.catalina.core.StandardContext.backgroundProcess ()","104 ms (-0%)","104 ms (-0%)","1"
"             org.apache.catalina.core.ContainerBase.backgroundProcess ()","104 ms (-0%)","104 ms (-0%)","1"
"              org.apache.catalina.util.LifecycleBase.fireLifecycleEvent ()","104 ms (-0%)","104 ms (-0%)","1"
"               org.springframework.boot.web.embedded.tomcat.TomcatWebServer$$Lambda$694.0x0000000800fc0000.lifecycleEvent ()","104 ms (-0%)","104 ms (-0%)","1"
"                org.springframework.boot.web.embedded.tomcat.TomcatWebServer.lambda$initialize$0 ()","104 ms (-0%)","104 ms (-0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
